"outcome","variant","gap","event_set","weighting","panel","event_time","reason","detail"
"achievement","sample_r5","b_black_white","primary","unweighted","unbalanced",-3,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2014 (0 rows; base year 2016: 1 rows); cohort 2018 at 2015 (3 rows; base year 2017: 36 rows); cohort 2019 at 2016 (4 rows; base year 2018: 0 rows); cohort 2020 at 2017 (2 rows; base year 2019: 2 rows)"
"achievement","sample_r5","b_black_white","primary","unweighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2013 (0 rows; base year 2010: 21 rows); cohort 2012 at 2014 (3 rows; base year 2011: 22 rows); cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 36 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","sample_r5","b_black_white","primary","unweighted","unbalanced",3,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2014 (0 rows; base year 2010: 21 rows); cohort 2012 at 2015 (3 rows; base year 2011: 22 rows); cohort 2017 at 2020 (0 rows; base year 2016: 1 rows); cohort 2018 at 2021 (4 rows; base year 2017: 36 rows)"
"achievement","sample_r5","b_black_white","primary","unweighted","unbalanced",4,"no district-year","cohort-years with no district-year in the panel: 2011 at 2015; 2012 at 2016; 2017 at 2021"
"achievement","sample_r5","b_black_white","primary","tested_weighted","unbalanced",-3,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2014 (0 rows; base year 2016: 1 rows); cohort 2018 at 2015 (2 rows; base year 2017: 34 rows); cohort 2019 at 2016 (0 rows; base year 2018: 0 rows); cohort 2020 at 2017 (2 rows; base year 2019: 2 rows)"
"achievement","sample_r5","b_black_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2013 (0 rows; base year 2010: 21 rows); cohort 2012 at 2014 (0 rows; base year 2011: 20 rows); cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 34 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","sample_r5","b_black_white","primary","tested_weighted","unbalanced",3,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2014 (0 rows; base year 2010: 21 rows); cohort 2012 at 2015 (2 rows; base year 2011: 20 rows); cohort 2017 at 2020 (0 rows; base year 2016: 1 rows); cohort 2018 at 2021 (2 rows; base year 2017: 34 rows)"
"achievement","sample_r5","b_black_white","primary","tested_weighted","unbalanced",4,"no district-year","cohort-years with no district-year in the panel: 2011 at 2015; 2012 at 2016; 2017 at 2021"
"achievement","sample_r5","c_hispanic_white","primary","unweighted","unbalanced",4,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2015 (0 rows; base year 2010: 34 rows); cohort 2012 at 2016 (4 rows; base year 2011: 20 rows); cohort 2017 at 2021 (1 rows; base year 2016: 1 rows)"
"achievement","sample_r5","c_hispanic_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2013 (1 rows; base year 2010: 34 rows); cohort 2012 at 2014 (2 rows; base year 2011: 16 rows); cohort 2018 at 2020 (0 rows; base year 2017: 51 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
