"outcome","variant","gap","event_set","weighting","panel","event_time","reason","detail"
"graduation","sample_exact","grad_black_white","primary","unweighted","unbalanced",6,"not estimable","district-years present but no estimable group-time cell: cohort 2012 at 2018 (4 rows; base year 2011: 7 rows)"
"graduation","sample_exact","grad_black_white","primary","tested_weighted","unbalanced",6,"not estimable","district-years present but no estimable group-time cell: cohort 2012 at 2018 (4 rows; base year 2011: 7 rows)"
"graduation","drop_few_pre","grad_black_white","primary","unweighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2018 (1 rows; base year 2016: 1 rows); cohort 2018 at 2019 (0 rows; base year 2017: 69 rows); cohort 2019 at 2020 (4 rows; base year 2018: 6 rows); cohort 2020 at 2021 (2 rows; base year 2019: 2 rows)"
"graduation","drop_few_pre","grad_black_white","primary","tested_weighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2018 (1 rows; base year 2016: 1 rows); cohort 2018 at 2019 (0 rows; base year 2017: 65 rows); cohort 2019 at 2020 (4 rows; base year 2018: 6 rows); cohort 2020 at 2021 (2 rows; base year 2019: 2 rows)"
"graduation","drop_few_pre","grad_black_white","r2","unweighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2019 at 2020 (4 rows; base year 2018: 6 rows)"
"graduation","drop_few_pre","grad_black_white","r2","tested_weighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2019 at 2020 (4 rows; base year 2018: 6 rows)"
"graduation","anticipation_1","grad_black_white","primary","unweighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2018 (1 rows; base year 2015: 1 rows); cohort 2018 at 2019 (0 rows; base year 2016: 69 rows); cohort 2019 at 2020 (4 rows; base year 2017: 6 rows); cohort 2020 at 2021 (2 rows; base year 2018: 2 rows)"
"graduation","anticipation_1","grad_black_white","primary","tested_weighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2018 (1 rows; base year 2015: 1 rows); cohort 2018 at 2019 (0 rows; base year 2016: 66 rows); cohort 2019 at 2020 (4 rows; base year 2017: 6 rows); cohort 2020 at 2021 (2 rows; base year 2018: 2 rows)"
"graduation","anticipation_1","grad_black_white","r2","unweighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2019 at 2020 (4 rows; base year 2017: 6 rows)"
"graduation","anticipation_1","grad_black_white","r2","tested_weighted","unbalanced",1,"not estimable","district-years present but no estimable group-time cell: cohort 2019 at 2020 (4 rows; base year 2017: 6 rows)"
